D_K	class_group_invariants	class_number	p	p_rank	source_filename	source_block	source_record
-11203620	[10,10,10]	1000	5	3	cl4mod16.0.gz	0	567571
-18397407	[40,10,5]	2000	5	3	cl7mod8.0.gz	0	1864036
-27960639	[40,10,10]	4000	5	3	cl7mod8.0.gz	0	2833021
-35663739	[30,10,5]	1500	5	3	cl3mod8.0.gz	0	3613498
-51213139	[75,5,5]	1875	5	3	cl3mod8.0.gz	0	5188962
-54319112	[60,10,5]	3000	5	3	cl8mod16.0.gz	0	2751849
-61040707	[20,10,5]	1000	5	3	cl3mod8.0.gz	0	6184706
-65818135	[30,10,10]	3000	5	3	cl7mod8.0.gz	0	6668770
-75949255	[40,20,5]	4000	5	3	cl7mod8.0.gz	0	7695311
-77778287	[120,10,5]	6000	5	3	cl7mod8.0.gz	0	7880624
-89017304	[170,10,5]	8500	5	3	cl8mod16.0.gz	0	4509682
-89218664	[310,5,5]	7750	5	3	cl8mod16.0.gz	0	4519875
-90903207	[110,10,5]	5500	5	3	cl7mod8.0.gz	0	9210425
-93121640	[90,10,10]	9000	5	3	cl8mod16.0.gz	0	4717610
-104545864	[60,10,5]	3000	5	3	cl8mod16.0.gz	0	5296357
-106660295	[110,10,10]	11000	5	3	cl7mod8.0.gz	0	10806955
-109909943	[100,10,10]	10000	5	3	cl7mod8.0.gz	0	11136201
-123482119	[270,5,5]	6750	5	3	cl7mod8.0.gz	0	12511343
-123779560	[10,10,10,2]	2000	5	3	cl8mod16.0.gz	0	6270733
-126740891	[195,5,5]	4875	5	3	cl3mod8.0.gz	0	12841535
-129063459	[60,10,5]	3000	5	3	cl3mod8.0.gz	0	13076875
-130370807	[100,10,10]	10000	5	3	cl7mod8.0.gz	0	13209329
-134005207	[100,10,5]	5000	5	3	cl7mod8.0.gz	0	13577551
-145367147	[125,5,5]	3125	5	3	cl3mod8.0.gz	0	14728754
-150535579	[140,5,5]	3500	5	3	cl3mod8.0.gz	0	15252416
-150679519	[150,10,5]	7500	5	3	cl7mod8.0.gz	0	15267059
-150752699	[160,5,5]	4000	5	3	cl3mod8.0.gz	0	15274411
-156145931	[165,5,5]	4125	5	3	cl3mod8.0.gz	0	15820858
-164995035	[60,10,5]	3000	5	3	cl3mod8.0.gz	0	16717495
-165570488	[60,20,5]	6000	5	3	cl8mod16.0.gz	0	8387907
-167094823	[60,10,10]	6000	5	3	cl7mod8.0.gz	0	16930267
-176386616	[180,10,5]	9000	5	3	cl8mod16.0.gz	0	8935850
-181738571	[100,10,5]	5000	5	3	cl3mod8.0.gz	0	18413982
-182240771	[225,5,5]	5625	5	3	cl3mod8.0.gz	0	18464854
-186243704	[40,20,10]	8000	5	3	cl8mod16.0.gz	0	9435206
-187160831	[60,20,10]	12000	5	3	cl7mod8.0.gz	0	18963378
-190572839	[630,5,5]	15750	5	3	cl7mod8.0.gz	0	19309072
-194080808	[70,10,10]	7000	5	3	cl8mod16.0.gz	0	9832264
-199674799	[340,5,5]	8500	5	3	cl7mod8.0.gz	0	20231308
-202331347	[30,10,5]	1500	5	3	cl3mod8.0.gz	0	20500450
-203145767	[60,10,10,2]	12000	5	3	cl7mod8.0.gz	0	20582987
-203437103	[210,10,5]	10500	5	3	cl7mod8.0.gz	0	20612503
-204909944	[80,10,10]	8000	5	3	cl8mod16.0.gz	0	10380858
-205996583	[100,10,10]	10000	5	3	cl7mod8.0.gz	0	20871844
-207666763	[50,10,5]	2500	5	3	cl3mod8.0.gz	0	21041053
-209149784	[180,10,5]	9000	5	3	cl8mod16.0.gz	0	10595645
-212229543	[60,10,10]	6000	5	3	cl7mod8.0.gz	0	21503354
-216770467	[95,5,5]	2375	5	3	cl3mod8.0.gz	0	21963452
-225826216	[20,10,10,2]	4000	5	3	cl8mod16.0.gz	0	11440501
-226373428	[30,10,10]	3000	5	3	cl4mod16.0.gz	0	11468219
-231112315	[20,10,10]	2000	5	3	cl3mod8.0.gz	0	23416587
-239452895	[160,10,10]	16000	5	3	cl7mod8.0.gz	0	24261653
-242963687	[370,5,5]	9250	5	3	cl7mod8.0.gz	0	24617364
-246238555	[70,10,5]	3500	5	3	cl3mod8.0.gz	0	24949188
-247127879	[160,10,10]	16000	5	3	cl7mod8.0.gz	0	25039289
-248046051	[60,10,5]	3000	5	3	cl3mod8.0.gz	0	25132335
-249407767	[60,10,10]	6000	5	3	cl7mod8.0.gz	0	25270287
-252735992	[280,5,5]	7000	5	3	cl8mod16.0.gz	0	12803786
-253425979	[135,5,5]	3375	5	3	cl3mod8.0.gz	0	25677424
-256232447	[420,5,5]	10500	5	3	cl7mod8.0.gz	0	25961776
-261286872	[10,10,10,2,2]	4000	5	3	cl8mod16.0.gz	0	13236954
