label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	0	4	0	0	4	5	0	0	39166
x1	1	0	0	0	2	0	5	5	0	5	5	0	1	0	32669
x1	1	0	0	0	3	0	0	0	0	0	0	0	0	1	27372
x1	2	0	0	1	1	0	0	2	0	0	2	5	0	0	33882
x1	2	0	0	1	2	0	6	6	0	6	6	0	1	0	30195
x1	2	0	0	1	3	0	0	0	0	0	0	0	0	1	33520
x2	0	1	0	0	1	4	0	3	4	0	3	5	0	0	31159
x2	0	1	0	0	2	6	0	1	6	0	1	0	1	0	27880
x2	0	1	0	0	3	3	0	0	3	0	0	0	0	1	28414
x2	0	2	0	1	1	2	0	5	2	0	5	5	0	0	30130
x2	0	2	0	1	2	3	0	4	3	0	4	0	1	0	29050
x2	0	2	0	1	3	5	0	0	5	0	0	0	0	1	29132
x3	0	0	1	0	1	1	1	0	1	1	0	5	0	0	35253
x3	0	0	1	0	2	3	1	0	3	1	0	0	1	0	41736
x3	0	0	1	0	3	6	4	0	6	4	0	0	0	1	48179
x3	0	0	2	1	1	4	4	0	4	4	0	5	0	0	43381
x3	0	0	2	1	2	5	4	0	5	4	0	0	1	0	37727
x3	0	0	2	1	3	3	2	0	3	2	0	0	0	1	35231
x1+x2	1	1	0	0	1	4	3	6	4	3	6	5	0	0	38831
x1+x2	1	1	0	0	2	1	6	1	1	6	1	0	1	0	36561
x1+x2	1	1	0	0	3	3	4	1	3	4	1	0	0	1	43045
x1+x2	2	2	0	1	1	2	5	3	2	5	3	5	0	0	42227
x1+x2	2	2	0	1	2	4	3	4	4	3	4	0	1	0	36943
x1+x2	2	2	0	1	3	5	2	4	5	2	4	0	0	1	43388
x1+x3	1	0	1	0	1	4	0	3	4	0	3	5	0	0	17645
x1+x3	1	0	1	0	2	5	2	2	5	2	2	0	1	0	18525
x1+x3	1	0	1	0	3	6	0	1	6	0	1	0	0	1	18830
x1+x3	2	0	2	1	1	2	0	5	2	0	5	5	0	0	18230
x1+x3	2	0	2	1	2	6	1	1	6	1	1	0	1	0	17347
x1+x3	2	0	2	1	3	3	0	4	3	0	4	0	0	1	17463
x2+x3	0	1	1	0	1	0	5	2	0	5	2	5	0	0	35167
x2+x3	0	1	1	0	2	4	0	0	4	0	0	0	1	0	7666
x2+x3	0	1	1	0	3	5	4	3	5	4	3	0	0	1	20394
x2+x3	0	2	2	1	1	0	6	1	0	6	1	5	0	0	10679
x2+x3	0	2	2	1	2	2	0	0	2	0	0	0	1	0	33291
x2+x3	0	2	2	1	3	6	2	5	6	2	5	0	0	1	20141
