D_K	class_group
-3321607	63,3,3
-4019207	207,3,3
-4472360	30,6,6
-4818916	48,3,3
-4897363	33,3,3
-5048347	18,6,3
-5067967	69,3,3
-5153431	216,3,3
-5288968	72,3,3
-5769988	12,6,6
-6562327	126,3,3
-7016747	99,3,3
-7060148	60,6,3
-7503391	90,6,3
-7546164	18,6,6,2
-8124503	261,3,3
-8180671	159,3,3
-8721735	60,6,6
-8819519	276,3,3
-8992363	48,3,3
-9379703	210,3,3
-9487991	381,3,3
-9778603	48,3,3
-10348907	105,3,3
-10381927	153,3,3
-10676983	105,3,3
-11072355	12,6,6,2
-11324296	48,6,3
-11328339	12,12,6
-11389912	30,6,3
-11393951	459,3,3
-11967780	18,6,6,2
-12047115	42,6,3
-12201979	108,3,3
-12559720	66,6,3
-12641639	657,3,3
-12755172	54,6,3
-12840904	60,6,3
-12897383	207,3,3
-13275687	324,3,3
-13278979	24,12,3
-13863220	24,6,6
-13974943	153,3,3
-14177407	240,3,3
-14227223	495,3,3
-14445844	72,6,3
-14643743	276,3,3
-14935391	405,3,3
-15476323	42,3,3
-15625067	195,3,3
-15987407	288,3,3
-16006307	42,6,3
-16042291	93,3,3
-16434239	846,3,3
-16564388	36,12,3
-16572804	48,6,6
-16657624	60,6,3
-16763912	60,6,6
-16784851	90,3,3
-17000507	183,3,3
-17112804	78,6,3
-17177572	96,3,3
-17496643	78,3,3
-17653587	24,6,6
-17725451	174,3,3
-17810891	96,6,3
-17896020	12,12,6,2
-17987428	24,6,6
-18409348	48,6,3
-18582159	312,3,3
-18590515	66,3,3
-18594131	261,3,3
-19006932	18,6,6,2
-19233080	126,6,3
-19368251	198,3,3
-19513736	144,6,3
-19912611	84,6,3
-19932436	102,6,3
-19941763	72,3,3
-19969763	60,6,3
-20080808	30,6,6,2
-20096024	54,6,6
-20252728	24,12,3
-20501128	108,3,3
-20621908	24,6,6
-20846440	84,6,3
-21194392	90,3,3
-21483928	42,6,3
-21658407	246,3,3
-21747455	84,12,3
-21806879	795,3,3
-21965907	96,3,3
-21972215	216,6,3
-22151867	192,3,3
-22165572	12,6,6,2
-22309331	174,3,3
-22441080	36,6,6
-23104527	234,6,3
-23321832	30,6,6
-23685848	54,6,6
-23951123	78,6,3
-24143284	36,6,6
-24418831	354,3,3
-24688264	192,3,3
-24909131	48,6,6
-24952655	78,6,6,2
-25012003	57,3,3
-25249451	222,3,3
-25274247	168,6,3
-25424951	720,3,3
-25660711	402,3,3
-25680535	72,6,6
-25684355	60,6,3
-25748312	54,6,6
-25997167	138,6,3
-26156083	18,6,6
-26430603	24,6,6
-26514856	78,6,3
-26607371	300,3,3
-26758111	426,3,3
-27458447	120,12,3
-27607115	90,6,3
-27634267	93,3,3
-27808763	198,3,3
-27840799	108,12,3
-27858536	246,6,3
-28114627	54,3,3
-28494568	42,6,3
-28502452	66,6,3
-28732623	84,6,6
-28914811	141,3,3
-28991499	96,6,3
-28996895	192,6,3
-29039896	126,3,3
-29225219	216,3,3
-29313672	30,6,6
-29349211	120,3,3
-29395571	225,3,3
-29454007	42,6,6
-29482627	75,3,3
-29597551	156,6,3
-29613268	138,3,3
-29676772	60,6,3
-29725336	126,3,3
-30078739	114,3,3
-30110403	36,6,3
-30365267	84,6,3
-30470603	147,3,3
-30479731	111,3,3
-30536548	36,6,6
-30580763	126,3,3
-30778471	366,3,3
-31170815	102,6,6
-31604267	162,3,3
-31859095	102,6,3
-32139951	234,6,3
-32256687	108,6,3
-32332891	210,3,3
-32494888	42,6,6
-32711691	66,6,6
-32830228	66,6,3
-32852423	486,3,3
-32922883	30,6,3
-32967727	54,6,6
-33450387	66,6,3
-33505727	624,3,3
-33543383	252,6,3
-33778824	60,6,6
-33866072	210,3,3
-33886715	72,6,3
-33889487	198,6,3
-34019704	264,3,3
-34025032	180,3,3
-34294431	336,6,3
-34365368	204,3,3
-34394964	120,6,3
-34395976	336,3,3
-34410767	216,6,6
-34557071	1104,3,3
-34587283	108,3,3
-34700727	240,6,3
-34757159	1104,3,3
-34764971	348,3,3
-35063799	252,6,3
-35180884	162,3,3
-35269627	96,3,3
-35275411	66,6,3
-35397931	168,3,3
-35470387	90,3,3
-35494763	225,3,3
-35858996	192,6,3
-35910676	24,12,6
-36323563	105,3,3
-36352456	120,6,3
-36399667	54,6,3
-36519044	408,3,3
-36848479	222,6,3
-36975896	222,6,3
-37418788	66,6,3
-37595407	333,3,3
-37762223	405,3,3
-37882679	396,6,3
-37935860	84,6,6
-37940287	120,6,3
-38206088	144,6,3
-38295992	108,6,3
-38547491	285,3,3
-38582072	180,3,3
-38588287	270,3,3
-38683940	78,6,6
-38711939	264,3,3
-38934467	126,6,3
-39026155	24,6,6
-39678747	84,6,3
-39726931	213,3,3
-40294232	180,6,3
-40305668	60,6,6
-40524047	342,3,3
-40628227	129,3,3
-40644155	126,6,3
-40956599	444,6,3
-40974248	180,6,3
-41128408	234,3,3
-41337480	54,6,6
-41344543	108,6,3
-41443599	540,3,3
-41477179	177,3,3
-41755827	144,3,3
-41889531	126,6,3
-41896536	84,6,6
-41980504	96,6,3
-42071235	84,6,3
-42132596	24,6,6,2,2
-42252679	108,6,6
-42305279	414,6,3
-42322639	372,3,3
-42503351	366,6,3
-42587971	192,3,3
-42686563	114,3,3
-42808163	258,3,3
-42826011	84,6,3
-42895603	36,6,3
-42907123	54,6,3
-42986939	246,3,3
-43080191	384,6,3
-43139524	144,6,3
-43376628	78,6,3
-43461239	1347,3,3
-43586455	252,6,3
-43710943	321,3,3
-43798756	48,6,6
-43963060	54,6,3
-43987623	162,6,3
-44097816	36,6,6,2
-44378884	90,6,3
-44387671	570,3,3
-44659183	327,3,3
-44671307	180,3,3
-44772863	432,3,3
-44813091	36,6,6
-44849411	369,3,3
-45152879	816,3,3
-45183043	114,3,3
-45554287	108,6,3
-45722467	108,3,3
-45770539	180,3,3
-45971092	78,6,3
-46220036	228,3,3
-46237207	60,12,3
-46280315	210,3,3
-46356087	144,6,3
-46677864	144,6,3
-46783571	306,3,3
-46887364	78,6,6
-46905323	213,3,3
-47332147	84,3,3
-47450935	216,6,3
-47455087	144,6,3
-47677668	102,6,3
-47831891	315,3,3
-47963219	300,3,3
-48023907	72,6,3
-48330759	132,6,6
-48511515	30,6,6,2
-48651143	564,3,3
-48862488	12,6,6,2,2
-48973895	408,6,3
-49127647	330,3,3
-49303355	156,6,3
-49499524	138,6,3
-49594276	240,3,3
-49666519	450,3,3
-49723123	99,3,3
-49875223	180,6,3
-49993463	552,3,3
-50065655	522,6,3
-50179656	84,6,6
-50463903	132,6,6
-50563859	279,3,3
-50566564	312,3,3
-50609427	54,6,3
-50611819	180,3,3
-50713799	444,6,3
-50831112	54,6,6
-50977103	558,3,3
-50994247	435,3,3
-51065211	108,6,3
-51274915	150,3,3
-51371291	408,3,3
-51880371	198,3,3
-52088423	672,3,3
-52119327	204,6,3
-52494539	312,3,3
-52517111	1194,3,3
-52526399	990,3,3
-52532008	72,6,3
-52722084	210,6,3
-52743011	204,6,3
-53090887	297,3,3
-53246276	552,3,3
-53395079	474,6,3
-53450299	162,3,3
-53472280	42,6,6
-53765843	294,3,3
-53893759	774,3,3
-53997976	270,3,3
-54060483	24,12,3
-54258447	516,3,3
-54433787	30,15,3
-54530671	330,6,3
-54750952	150,3,3
-54962868	60,6,6
-55002551	762,3,3
-55099043	150,6,3
-55247159	216,6,6
-55458643	24,12,3
-55459844	138,6,6
-55990111	438,3,3
-56012791	615,3,3
-56023159	594,3,3
-56062840	78,6,3
-56179268	186,6,3
-56227223	234,6,6
-56877643	24,12,3
-56892947	285,3,3
-56910443	189,3,3
-57236692	54,9,3
-57280391	996,3,3
-57525107	252,3,3
-57537671	390,6,3
-57554915	84,6,6
-57886599	336,6,3
-58055055	222,6,3
-58106407	345,3,3
-58264280	84,6,6
-58436551	621,3,3
-58503176	252,6,3
-58616979	174,3,3
-58670031	324,6,3
-58830347	177,3,3
-58917044	462,3,3
-58924687	582,3,3
-58983812	132,12,3
-59240407	351,3,3
-59283247	288,3,3
-59283847	354,3,3
-59289547	87,3,3
-59457832	36,6,6
-59728531	132,3,3
-60157219	102,6,3
-60252979	255,3,3
-60416488	120,6,3
-60638315	294,3,3
-60661208	198,6,3
-60670931	420,3,3
-60732499	174,3,3
-60912499	36,6,6
-60936143	546,3,3
-61043151	132,12,3
-61050644	216,6,3
-61052171	369,3,3
-61063943	837,3,3
-61090772	138,6,3
-61113332	138,6,3
-61263451	189,3,3
-61522964	462,6,3
-61559087	384,6,3
-61764971	261,3,3
-61954504	312,3,3
-62092203	60,6,6
-62202324	186,6,3
-62299023	450,3,3
-62919784	84,6,3
-62993416	384,3,3
-63069839	1464,3,3
-63165371	456,3,3
-63199139	348,3,3
-63263807	789,3,3
-63572952	48,6,6
-63643603	42,6,3
-63849412	90,6,3
-63946915	78,6,3
-63953087	390,6,3
-64018859	318,3,3
-64046083	147,3,3
-64058143	321,3,3
-64080884	336,6,3
-64345151	1362,3,3
-64677252	78,6,6
-64733531	267,3,3
-64842308	150,6,3
-64894027	108,3,3
-65118839	849,3,3
-65257604	336,6,3
-65417747	297,3,3
-65547115	66,6,3
-65561387	210,3,3
-65566643	126,6,3
-65739755	108,6,3
-65809779	162,6,3
-66047467	138,3,3
-66126811	159,3,3
-66319367	762,3,3
-66483203	276,3,3
-66847063	441,3,3
-66873559	420,3,3
-66977099	168,6,3
-67223287	120,12,3
-67231491	318,3,3
-67244147	270,3,3
-67271572	72,6,3
-67322296	90,6,6
-67493503	114,6,6
-67604871	414,6,3
-67657143	396,3,3
-67726936	294,3,3
-67912984	390,3,3
-68193140	84,6,6
-68259176	276,6,3
-68261656	222,3,3
-68516555	72,12,3
-68523256	72,12,3
-68642059	198,3,3
-68655147	36,6,6
-68903007	384,6,3
-69456767	819,3,3
-69544011	138,6,3
-69645755	252,3,3
-69676520	174,6,3
-69709283	138,6,3
-69768715	66,6,3
-69933299	372,3,3
-70061912	210,6,3
-70164019	189,3,3
-70177623	186,6,6
-70488707	204,3,3
-70502371	150,3,3
-70853099	261,3,3
-71153643	60,6,3
-71227880	132,6,6
-71253620	180,6,3
-71525815	366,3,3
-71527667	219,3,3
-71545411	84,6,3
-71603795	90,6,6
-71655143	48,12,6,2
-71659867	102,3,3
-71662359	270,6,6
-71911464	72,6,6
-72088707	78,6,3
-72128884	282,3,3
-72222184	180,6,3
-72673979	162,6,3
-72691603	90,6,3
-72839983	519,3,3
-72903379	273,3,3
-72972579	102,6,3
-73046319	372,6,3
-73086555	72,6,6
-73097403	72,6,3
-73103963	228,3,3
-73123807	390,3,3
-73509431	1239,3,3
-73539679	312,6,3
-73816115	162,6,3
-73831256	390,3,3
-73892607	630,3,3
-74069848	222,3,3
-74251236	108,6,6
-74343019	159,3,3
-74428948	114,6,3
-74446471	186,6,3
-74672023	486,3,3
-74775687	342,6,3
-74926067	252,3,3
-74944691	690,3,3
-74977087	240,6,3
-74988295	360,3,3
-75069563	240,3,3
-75170616	114,6,6
-75199172	198,6,3
-75199703	630,6,3
-75474676	294,3,3
-75700947	72,6,3
-75950259	54,6,6
-76062191	1302,3,3
-76278068	252,6,3
-76295551	627,3,3
-76327547	126,6,3
-76563391	456,3,3
-76644136	150,6,3
-76719119	1008,3,3
-76781539	222,3,3
-76819303	144,6,3
-76933327	297,3,3
-77016484	432,3,3
-77436244	306,3,3
-77533044	60,6,6,2
-77879663	774,3,3
-77947879	564,3,3
-78051887	654,3,3
-78113599	378,3,3
-78123956	276,6,3
-78159544	102,6,3
-78417563	222,3,3
-78616756	72,6,6
-78766563	144,3,3
-78789999	162,6,6
-79042567	378,3,3
-79076147	324,3,3
-79239059	375,3,3
-79239963	96,6,3
-79378899	54,18,3
-79417343	810,3,3
-79446183	618,3,3
-79713039	126,6,6,2
-79777147	129,3,3
-79821928	210,3,3
-79843343	984,3,3
-79889939	462,3,3
-79954936	504,3,3
-80055743	1062,3,3
-80067263	270,9,3
-80179323	102,6,3
-80228087	699,3,3
-80340595	72,6,3
-80667656	408,6,3
-81002507	258,3,3
-81055347	162,3,3
-81080107	159,3,3
-81173699	621,3,3
-81430807	726,3,3
-81491291	360,3,3
-81592963	117,3,3
-81952699	258,3,3
-82147415	240,6,6
-82220615	702,3,3
-82346307	90,6,3
-82361155	30,6,6
-82593159	120,12,6
-82735860	42,6,6,2
-82911943	354,3,3
-82927111	474,3,3
-82960979	435,3,3
-83076495	216,6,6
-83164003	102,6,3
-83181284	288,6,3
-83260039	468,3,3
-83281243	120,3,3
-83512523	438,3,3
-83555403	90,6,3
-83593716	108,6,6
-83655843	270,3,3
-83667140	132,6,6
-83678267	258,3,3
-83739364	60,6,6
-83876747	255,3,3
-83977007	891,3,3
-83987583	264,6,3
-84000335	534,6,3
-84091667	126,6,3
-84404939	471,3,3
-84503683	90,6,3
-84537355	30,6,6
-84604483	168,3,3
-84730747	72,6,3
-84962455	132,12,3
-85241139	120,6,3
-85273015	240,6,3
-85349659	114,6,3
-85436308	114,6,3
-85503343	513,3,3
-85829711	1008,3,3
-85846072	78,6,3
-85893823	291,3,3
-85922243	102,6,3
-85944759	1062,3,3
-85965519	300,6,6
-86099672	54,6,6,2
-86148239	975,3,3
-86530739	360,3,3
-87068820	72,6,6
-87076607	600,3,3
-87116531	477,3,3
-87155515	24,12,6
-87227535	198,6,6
