label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	2	2	1	0	2	1	2	0	0	107
x1	1	0	0	0	2	0	0	1	0	2	1	0	1	0	108
x1	1	0	0	0	3	0	1	1	0	1	0	0	0	1	119
x1	2	0	0	1	1	2	2	1	0	2	1	2	0	0	107
x1	2	0	0	1	2	0	0	1	0	2	1	0	1	0	110
x1	2	0	0	1	3	0	1	1	0	1	0	0	0	1	121
x2	0	1	0	0	1	1	0	1	2	0	1	2	0	0	69
x2	0	1	0	0	2	2	1	0	2	0	0	0	1	0	96
x2	0	1	0	0	3	0	0	2	0	0	1	0	0	1	87
x2	0	2	0	1	1	1	0	1	2	0	1	2	0	0	64
x2	0	2	0	1	2	2	1	0	2	0	0	0	1	0	69
x2	0	2	0	1	3	0	0	2	0	0	1	0	0	1	30
x3	0	0	1	0	1	0	2	0	1	2	0	2	0	0	87
x3	0	0	1	0	2	1	2	0	1	1	0	0	1	0	81
x3	0	0	1	0	3	1	2	1	1	2	0	0	0	1	52
x3	0	0	2	1	1	0	2	0	1	2	0	2	0	0	60
x3	0	0	2	1	2	1	2	0	1	1	0	0	1	0	81
x3	0	0	2	1	3	1	2	1	1	2	0	0	0	1	51
x1+x2+x3	1	1	1	0	1	0	1	1	1	1	1	2	0	0	80
x1+x2+x3	1	1	1	0	2	0	0	1	0	2	1	0	1	0	81
x1+x2+x3	1	1	1	0	3	2	2	0	2	2	2	0	0	1	80
x1+x2+x3	2	2	2	1	1	0	1	1	1	1	1	2	0	0	79
x1+x2+x3	2	2	2	1	2	0	0	1	0	2	1	0	1	0	81
x1+x2+x3	2	2	2	1	3	2	2	0	2	2	2	0	0	1	80
x1+x2	1	1	0	0	1	1	1	0	2	1	0	2	0	0	197
x1+x2	1	1	0	0	2	2	2	1	2	1	1	0	1	0	196
x1+x2	1	1	0	0	3	2	1	2	2	1	1	0	0	1	194
x1+x2	2	2	0	1	1	1	1	0	2	1	0	2	0	0	196
x1+x2	2	2	0	1	2	2	2	1	2	1	1	0	1	0	199
x1+x2	2	2	0	1	3	2	1	2	2	1	1	0	0	1	195
x1+x3	1	0	1	0	1	1	0	1	2	0	1	2	0	0	67
x1+x3	1	0	1	0	2	0	1	0	0	0	0	0	1	0	66
x1+x3	1	0	1	0	3	0	1	1	0	1	0	0	0	1	75
x1+x3	2	0	2	1	1	1	0	1	2	0	1	2	0	0	67
x1+x3	2	0	2	1	2	0	1	0	0	0	0	0	1	0	67
x1+x3	2	0	2	1	3	0	1	1	0	1	0	0	0	1	75
