label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	2	0	0	0	0	0	2	0	0	125
x1	1	0	0	0	2	0	0	2	0	1	2	0	2	0	138
x1	1	0	0	0	3	0	2	0	0	2	1	0	0	2	32
x1	2	0	0	1	1	2	0	0	0	0	0	2	0	0	145
x1	2	0	0	1	2	0	0	2	0	1	2	0	2	0	90
x1	2	0	0	1	3	0	2	0	0	2	1	0	0	2	127
x2	0	1	0	0	1	1	0	1	2	0	1	2	0	0	179
x2	0	1	0	0	2	2	2	2	2	0	2	0	2	0	145
x2	0	1	0	0	3	2	0	2	2	0	0	0	0	2	149
x2	0	2	0	1	1	1	0	1	2	0	1	2	0	0	153
x2	0	2	0	1	2	2	2	2	2	0	2	0	2	0	144
x2	0	2	0	1	3	2	0	2	2	0	0	0	0	2	168
x3	0	0	1	0	1	2	0	0	0	0	0	2	0	0	168
x3	0	0	1	0	2	2	1	0	2	2	0	0	2	0	181
x3	0	0	1	0	3	0	1	2	0	1	0	0	0	2	159
x3	0	0	2	1	1	2	0	0	0	0	0	2	0	0	161
x3	0	0	2	1	2	2	1	0	2	2	0	0	2	0	197
x3	0	0	2	1	3	0	1	2	0	1	0	0	0	2	174
x1+x2+x3	1	1	1	0	1	1	0	1	2	0	1	2	0	0	127
x1+x2+x3	1	1	1	0	2	1	2	2	1	0	2	0	2	0	145
x1+x2+x3	1	1	1	0	3	2	1	2	2	1	0	0	0	2	156
x1+x2+x3	2	2	2	1	1	1	0	1	2	0	1	2	0	0	114
x1+x2+x3	2	2	2	1	2	1	2	2	1	0	2	0	2	0	161
x1+x2+x3	2	2	2	1	3	2	1	2	2	1	0	0	0	2	152
x1+x2	1	1	0	0	1	0	2	0	1	2	0	2	0	0	171
x1+x2	1	1	0	0	2	2	0	2	2	1	2	0	2	0	190
x1+x2	1	1	0	0	3	0	0	1	0	0	2	0	0	2	186
x1+x2	2	2	0	1	1	0	2	0	1	2	0	2	0	0	174
x1+x2	2	2	0	1	2	2	0	2	2	1	2	0	2	0	177
x1+x2	2	2	0	1	3	0	0	1	0	0	2	0	0	2	196
x1+x3	1	0	1	0	1	1	2	1	2	2	1	2	0	0	176
x1+x3	1	0	1	0	2	0	1	0	0	2	0	0	2	0	184
x1+x3	1	0	1	0	3	0	2	2	0	2	0	0	0	2	181
x1+x3	2	0	2	1	1	1	2	1	2	2	1	2	0	0	201
x1+x3	2	0	2	1	2	0	1	0	0	2	0	0	2	0	176
x1+x3	2	0	2	1	3	0	2	2	0	2	0	0	0	2	177
