D	class_group	p_primary	class_number	state	result_status	arithmetic_audit	cubic_rank	bounded_witness	exhaustive_witness	MILD	CD	leading_words	runtime_seconds	result_sha256	run_log_sha256	exit_status	started_at	ended_at	error
-27960639	[40,10,10]	[5,5,5]	4000	COMPLETED	STRONGLY_FREE_BASIS_FOUND	PASS (18/18)	3	FOUND	NOT_USED	PROVED	2	"[""ccb"", ""caa"", ""cab""]"	3238.713	2146eccba19ed2499c83440602988f65214a0bf1fc06a4f245b54c4b6020384d	53fb35af430f25cf662100ee118c068d9de51f1260685957d31d61cee3283beb	0	2026-07-25T06:38:25+00:00	2026-07-25T07:37:37+00:00	
-35663739	[30,10,5]	[5,5,5]	1500	COMPLETED	NO_STRONGLY_FREE_BASIS_FOUND	PASS (18/18)	3	NOT_FOUND	NOT_FOUND	UNKNOWN	UNKNOWN	[]	5487.34	ff6a63fc9ec0e56d5968f582eaa5153296e7d064166b3c79d5f794ce26d179c9	5ab45ba187e73e79b646c10975877f40145d0abfe37fb3d83e4c410a0bc6e9ad	0	2026-07-25T10:43:02+00:00	2026-07-25T12:24:14+00:00	
-51213139	[75,5,5]	[25,5,5]	1875	COMPLETED	NO_STRONGLY_FREE_BASIS_FOUND	PASS (18/18)	3	NOT_RUN	NOT_FOUND	UNKNOWN	UNKNOWN	[]	2833.278	1921877d4a13708b79315a5cba4e4da8b0d19d89ed257196635c524a271d53ec	2304809ebd371886581495107b0f11e6ee37ca81a37dd21d0fa6029c5b170436	0	2026-07-25T12:26:26+00:00	2026-07-25T13:18:44+00:00	
-61040707	[20,10,5]	[5,5,5]	1000	COMPLETED	STRONGLY_FREE_BASIS_FOUND	PASS (18/18)	3	NOT_RUN	FOUND	PROVED	2	"[""cca"", ""cbb"", ""cba""]"	11818.372	241101962c00969549f28536b20d4caf5431f4e33345e38621b0ac993787d25a	5c667bad42052f26d16ebe2ed26a736c33ccdfb348ced251d4694fa76088d45c	0	2026-07-25T13:18:44+00:00	2026-07-25T16:42:55+00:00	
-54319112	[60,10,5]	[5,5,5]	3000	COMPLETED	STRONGLY_FREE_BASIS_FOUND	PASS (18/18)	3	NOT_RUN	FOUND	PROVED	2	"[""cca"", ""cbb"", ""cba""]"	3568.699	3a765e21004577b8b69554b45fac1abc7f4c896a148dc35e61f93762136d3511	900a2827ae564c015202ff0a36b4b15237043523f61cae77031cc6da252881c5	0	2026-07-25T16:54:52+00:00	2026-07-25T17:54:28+00:00	
-65818135	[30,10,10]	[5,5,5]	3000	COMPLETED	STRONGLY_FREE_BASIS_FOUND	PASS (18/18)	3	NOT_RUN	FOUND	PROVED	2	"[""cca"", ""cbb"", ""cba""]"	5082.154	141cbf1f347498bd83fc9fae6c5bfde355b07092a0f2793d6f6b79b8d2520434	11eb6907e9e8ad62a8ee476a73953956ba4bc9cb64eaf13db8605c02fc7c78b0	0	2026-07-26T16:10:37+00:00	2026-07-26T17:37:08+00:00	
-75949255	[40,20,5]	[5,5,5]	4000	PENDING															
-145367147	[125,5,5]	[125,5,5]	3125	PENDING															
-109909943	[100,10,10]	[25,5,5]	10000	PENDING															
-207666763	[50,10,5]	[25,5,5]	2500	PENDING															
