label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	0	5	0	0	5	0	1	0	0	11410
x1	1	0	0	0	2	0	0	2	0	0	2	0	1	0	11351
x1	1	0	0	0	3	0	3	4	0	3	4	0	0	1	11386
x1	2	0	0	1	1	0	6	0	0	6	0	1	0	0	12040
x1	2	0	0	1	2	0	0	1	0	0	1	0	1	0	11374
x1	2	0	0	1	3	0	5	2	0	5	2	0	0	1	11766
x2	0	1	0	0	1	5	0	6	5	0	6	1	0	0	20397
x2	0	1	0	0	2	3	0	2	3	0	2	0	1	0	20756
x2	0	1	0	0	3	1	0	2	1	0	2	0	0	1	20487
x2	0	2	0	1	1	6	0	3	6	0	3	1	0	0	20996
x2	0	2	0	1	2	5	0	1	5	0	1	0	1	0	20896
x2	0	2	0	1	3	4	0	1	4	0	1	0	0	1	20719
x3	0	0	1	0	1	1	2	0	1	2	0	1	0	0	17859
x3	0	0	1	0	2	6	6	0	6	6	0	0	1	0	17590
x3	0	0	1	0	3	5	0	0	5	0	0	0	0	1	17313
x3	0	0	2	1	1	4	1	0	4	1	0	1	0	0	17968
x3	0	0	2	1	2	3	3	0	3	3	0	0	1	0	17548
x3	0	0	2	1	3	6	0	0	6	0	0	0	0	1	17324
x1+x2	1	1	0	0	1	0	0	1	0	0	1	1	0	0	12768
x1+x2	1	1	0	0	2	3	4	6	3	4	6	0	1	0	12754
x1+x2	1	1	0	0	3	5	2	3	5	2	3	0	0	1	12827
x1+x2	2	2	0	1	1	0	0	4	0	0	4	1	0	0	12365
x1+x2	2	2	0	1	2	5	2	3	5	2	3	0	1	0	12614
x1+x2	2	2	0	1	3	6	1	5	6	1	5	0	0	1	13173
x1+x3	1	0	1	0	1	1	6	6	1	6	6	1	0	0	12852
x1+x3	1	0	1	0	2	4	4	3	4	4	3	0	1	0	12350
x1+x3	1	0	1	0	3	1	0	6	1	0	6	0	0	1	12457
x1+x3	2	0	2	1	1	4	3	3	4	3	3	1	0	0	12339
x1+x3	2	0	2	1	2	2	2	5	2	2	5	0	1	0	12619
x1+x3	2	0	2	1	3	4	0	3	4	0	3	0	0	1	12395
x2+x3	0	1	1	0	1	5	3	4	5	3	4	1	0	0	9517
x2+x3	0	1	1	0	2	2	4	3	2	4	3	0	1	0	9202
x2+x3	0	1	1	0	3	5	5	2	5	5	2	0	0	1	9445
x2+x3	0	2	2	1	1	6	5	2	6	5	2	1	0	0	9291
x2+x3	0	2	2	1	2	1	2	5	1	2	5	0	1	0	9268
x2+x3	0	2	2	1	3	6	6	1	6	6	1	0	0	1	9300
