field	polynomial	character	label	exit	seconds	peak_rss_kb	stack_cap
D-104545864	backfill	1	a	0	4108	5202344	backfill
D-104545864	backfill	2	b	0	3990	5202440	backfill
D-104545864	backfill	3	c	0	4069	5202276	backfill
D-104545864	backfill	4	a+b	0	4113	5201296	backfill
D-104545864	backfill	5	a+c	0	4090	5202220	backfill
D-104545864	backfill	6	b+c	0	3957	5202604	backfill
D-123779560	backfill	1	a	0	1374	944776	backfill
D-123779560	backfill	2	b	0	1368	944904	backfill
D-123779560	backfill	3	c	0	1382	945104	backfill
D-123779560	backfill	4	a+b	0	1375	944912	backfill
D-123779560	backfill	5	a+c	0	1379	944516	backfill
D-123779560	backfill	6	b+c	0	1363	945160	backfill
D-126740891	backfill	1	a	0	524	610008	backfill
D-126740891	backfill	2	b	0	515	437520	backfill
D-126740891	backfill	3	c	0	524	437444	backfill
D-126740891	backfill	4	a+b	0	528	902292	backfill
D-126740891	backfill	5	a+c	0	5113	5357580	backfill
D-126740891	backfill	6	b+c	0	521	437664	backfill
D-90903207	backfill	1	a	0	841	1130840	backfill
D-90903207	backfill	2	b	0	837	1131212	backfill
D-90903207	backfill	3	c	0	839	1131228	backfill
D-90903207	backfill	4	a+b	0	840	1131068	backfill
D-90903207	backfill	5	a+c	0	837	1130840	backfill
D-90903207	backfill	6	b+c	0	839	1131020	backfill
D-123482119	s^2-s+30870530	1	a	0	776	867832	4294967296
D-123482119	s^2-s+30870530	2	b	0	788	988740	4294967296
D-123482119	s^2-s+30870530	3	c	0	788	640728	4294967296
D-123482119	s^2-s+30870530	4	a+b	0	804	1106812	4294967296
D-123482119	s^2-s+30870530	5	a+c	0	804	641036	4294967296
D-123482119	s^2-s+30870530	6	b+c	0	804	640560	4294967296
D-89218664	s^2+22304666	1	a	0	586	3584488	4294967296
D-89218664	s^2+22304666	2	b	0	586	324916	4294967296
D-89218664	s^2+22304666	3	c	0	586	324816	4294967296
D-89218664	s^2+22304666	4	a+b	0	586	324900	4294967296
D-89218664	s^2+22304666	5	a+c	0	586	324968	4294967296
D-89218664	s^2+22304666	6	b+c	0	586	830696	4294967296
D-89017304	s^2+22254326	1	a	0	466	962168	4294967296
D-89017304	s^2+22254326	2	b	0	470	961908	4294967296
D-89017304	s^2+22254326	3	c	0	470	962200	4294967296
D-89017304	s^2+22254326	4	a+b	0	470	962244	4294967296
D-89017304	s^2+22254326	5	a+c	0	470	961912	4294967296
D-89017304	s^2+22254326	6	b+c	0	470	962188	4294967296
D-93121640	s^2+23280410	1	a	0	293	438636	4294967296
D-93121640	s^2+23280410	2	b	0	297	438604	4294967296
D-93121640	s^2+23280410	3	c	0	297	438408	4294967296
D-93121640	s^2+23280410	4	a+b	0	300	438624	4294967296
D-93121640	s^2+23280410	5	a+c	0	300	438776	4294967296
D-93121640	s^2+23280410	6	b+c	0	300	438772	4294967296
D-106660295	s^2-s+26665074	1	a	0	672	746692	4294967296
D-106660295	s^2-s+26665074	2	b	0	675	733980	4294967296
D-106660295	s^2-s+26665074	3	c	0	675	733688	4294967296
D-106660295	s^2-s+26665074	4	a+b	0	676	733412	4294967296
D-106660295	s^2-s+26665074	5	a+c	0	681	733888	4294967296
D-106660295	s^2-s+26665074	6	b+c	0	681	733880	4294967296
mt-regression	s^2+23280410	1	a	0	445	439788	8589934592
