discriminant	field	max_head_degree	head_words
-3321607	3	6	10
-3640387	3	9	13
-4019207	9	5	6
-4472360	3	8	10
-4818916	3	8	12
-5048347	3	7	11
-5067967	3	8	14
-5153431	3	10	15
-5288968	9	7	12
-5769988	9	7	12
-6562327	27	8	12
-7016747	3	6	9
-7060148	3	8	10
-7503391	3	8	12
-7546164	9	6	10
-8124503	3	8	13
-8180671	3	8	14
-8721735	3	8	12
-8819519	3	8	13
-8992363	3	6	10
-9379703	3	6	10
-9487991	3	8	12
-9778603	3	5	9
-10348907	3	7	10
-10381927	729	8	12
-10676983	3	7	11
-11072355	3	8	10
-11324296	3	8	14
-11328339	3	5	6
-11389912	3	8	13
-11393951	3	8	12
-12047115	3	7	10
-12201979	3	8	12
-12559720	3	8	11
-12641639	3	9	13
-12755172	3	7	12
-12840904	3	7	11
-12897383	3	8	13
-13275687	3	6	10
-13278979	3	6	11
-13863220	3	7	11
-13974943	9	9	13
-14177407	3	8	10
-14227223	3	4	4
-14445844	3	8	12
-14643743	3	6	10
-14935391	3	8	13
-15476323	3	8	11
-15625067	3	6	9
-15987407	6561	8	12
-16006307	3	9	10
-16042291	3	8	12
-16434239	3	8	12
-16572804	3	7	12
-16657624	9	8	12
-16763912	3	8	12
-17000507	3	8	12
-17112804	3	8	10
-17177572	3	8	15
-17496643	3	8	10
-17653587	3	7	12
-17725451	3	6	9
-17810891	9	8	12
-17896020	3	7	11
-17987428	3	6	10
-18409348	3	8	12
-18582159	3	6	10
-18590515	3	7	12
-18594131	3	6	9
-19233080	3	6	9
-19513736	3	8	12
-19912611	3	8	13
-19932436	3	8	10
-19969763	9	8	12
-20080808	3	8	10
-20096024	3	8	10
-20252728	3	6	9
-20501128	3	7	12
-20621908	3	7	12
-20846440	3	8	17
-21194392	3	6	9
-21483928	3	6	10
-21658407	3	8	12
-21747455	3	6	10
-21806879	3	6	9
-21965907	81	8	12
-21972215	3	7	11
-22151867	3	8	12
-22165572	3	6	10
-22309331	3	7	11
-23104527	3	6	10
-23321832	3	7	10
-23685848	3	6	10
-23951123	3	6	10
-24143284	3	8	12
-24418831	3	8	10
-24688264	3	7	12
-24909131	3	8	12
-24952655	3	8	10
-25012003	3	7	12
-25249451	3	6	10
-25274247	3	7	11
-25424951	3	7	11
-25660711	9	9	16
-25684355	27	8	12
-25748312	3	5	6
-25997167	3	8	10
-26156083	3	8	10
-26430603	3	10	15
-26514856	9	8	12
-26607371	3	7	11
-26758111	3	8	13
-27458447	3	7	11
-27607115	3	7	12
-27634267	9	7	12
-27808763	3	8	12
-27840799	3	9	13
-27858536	3	7	11
-28114627	3	7	12
-28494568	9	8	10
-28502452	243	8	12
-28732623	3	6	9
-28914811	3	8	12
-28991499	3	7	11
-28996895	3	6	10
-29039896	3	8	10
-29313672	3	6	10
-29349211	3	7	12
-29482627	3	6	9
-29597551	3	7	12
-29613268	3	8	12
-29676772	3	8	12
-29725336	3	8	10
-30078739	3	7	12
-30110403	3	7	11
-30365267	3	8	12
-30470603	3	8	12
-30479731	3	8	13
-30536548	3	6	10
-30580763	3	8	13
-30778471	3	8	11
-31170815	3	7	12
-31604267	3	8	12
-31859095	3	6	10
-32139951	3	8	12
-32256687	3	6	10
-32332891	3	8	10
-32494888	3	6	10
-32711691	3	7	11
-32830228	3	7	12
-32852423	3	6	10
-32922883	3	5	9
-32967727	9	7	12
-33450387	3	10	18
-33505727	3	8	14
-33543383	9	8	11
-33778824	3	7	11
-33866072	3	6	10
-33889487	3	8	12
-34019704	81	8	12
-34025032	3	5	9
-34294431	3	8	10
-34365368	3	8	12
-34394964	3	7	12
-34395976	3	8	12
-34410767	3	8	12
-34557071	3	7	12
-34700727	3	6	9
-34757159	3	11	13
-35063799	3	7	11
-35180884	3	7	11
-35269627	3	8	12
-35275411	27	8	12
-35397931	3	8	15
-35470387	9	8	13
-35494763	3	8	13
-35858996	3	8	13
-35910676	3	8	10
-36323563	9	8	12
-36352456	3	8	12
-36399667	3	10	15
-36519044	3	8	10
-36848479	6561	8	12
-36975896	9	8	13
-37418788	27	8	12
-37595407	3	8	13
-37762223	3	8	10
-37935860	3	7	11
-37940287	3	8	12
-38206088	3	6	10
-38547491	3	6	10
-38582072	3	8	13
-38588287	3	8	10
-38683940	3	6	10
-38711939	3	8	10
-38934467	3	8	12
-39026155	3	11	14
-39678747	3	8	13
-39726931	3	8	12
-40294232	3	8	14
-40305668	3	7	12
-40524047	3	8	12
-40628227	3	8	12
-40644155	3	8	14
-40956599	3	7	12
-40974248	3	5	9
-41128408	3	6	9
-41337480	3	8	12
-41344543	3	6	11
-41443599	3	8	13
-41477179	3	8	12
-41755827	3	6	10
-41889531	3	6	10
-41896536	3	8	10
-41980504	3	6	10
-42071235	3	6	10
-42132596	3	8	10
-42252679	3	8	12
-42322639	3	8	13
-42503351	3	8	10
-42587971	3	8	10
-42686563	3	8	13
-42808163	3	8	12
-42826011	3	8	14
-42895603	3	7	11
-42907123	3	7	11
-42986939	3	5	9
-43080191	3	8	12
-43139524	3	8	11
-43376628	3	8	13
-43461239	3	6	10
-43586455	3	8	15
-43710943	243	8	12
-43798756	9	7	12
-43963060	3	8	10
-43987623	3	7	12
-44097816	3	10	16
-44378884	9	8	12
-44387671	3	6	10
-44659183	3	7	12
-44671307	3	6	10
-44772863	3	7	11
-44813091	3	8	12
-44849411	27	8	12
-45183043	3	8	13
-45554287	3	6	10
-45722467	3	8	12
-45770539	3	6	10
-45971092	3	7	12
-46220036	3	8	10
-46237207	3	8	10
