label	x1	x2	x3	doubled	input	d1	d2	d3	norm_only1	norm_only2	norm_only3	j1	j2	j3	elapsed_ms
x1	1	0	0	0	1	2	2	1	0	2	1	2	0	0	80
x1	1	0	0	0	2	0	2	0	0	1	0	0	1	0	80
x1	1	0	0	0	3	0	1	2	0	1	1	0	0	1	82
x1	2	0	0	1	1	2	2	1	0	2	1	2	0	0	81
x1	2	0	0	1	2	0	2	0	0	1	0	0	1	0	79
x1	2	0	0	1	3	0	1	2	0	1	1	0	0	1	83
x2	0	1	0	0	1	1	0	0	2	0	0	2	0	0	103
x2	0	1	0	0	2	1	1	0	1	0	0	0	1	0	99
x2	0	1	0	0	3	1	0	1	1	0	0	0	0	1	99
x2	0	2	0	1	1	1	0	0	2	0	0	2	0	0	121
x2	0	2	0	1	2	1	1	0	1	0	0	0	1	0	124
x2	0	2	0	1	3	1	0	1	1	0	0	0	0	1	101
x3	0	0	1	0	1	2	1	0	0	1	0	2	0	0	71
x3	0	0	1	0	2	2	2	0	2	1	0	0	1	0	79
x3	0	0	1	0	3	0	0	1	0	0	0	0	0	1	78
x3	0	0	2	1	1	2	1	0	0	1	0	2	0	0	72
x3	0	0	2	1	2	2	2	0	2	1	0	0	1	0	78
x3	0	0	2	1	3	0	0	1	0	0	0	0	0	1	79
x1+x2+x3	1	1	1	0	1	2	0	0	0	0	0	2	0	0	77
x1+x2+x3	1	1	1	0	2	2	1	1	2	0	1	0	1	0	120
x1+x2+x3	1	1	1	0	3	0	1	0	0	1	2	0	0	1	123
x1+x2+x3	2	2	2	1	1	2	0	0	0	0	0	2	0	0	76
x1+x2+x3	2	2	2	1	2	2	1	1	2	0	1	0	1	0	119
x1+x2+x3	2	2	2	1	3	0	1	0	0	1	2	0	0	1	90
x1+x2	1	1	0	0	1	1	1	0	2	1	0	2	0	0	65
x1+x2	1	1	0	0	2	2	2	2	2	1	2	0	1	0	89
x1+x2	1	1	0	0	3	0	0	2	0	0	1	0	0	1	87
x1+x2	2	2	0	1	1	1	1	0	2	1	0	2	0	0	87
x1+x2	2	2	0	1	2	2	2	2	2	1	2	0	1	0	87
x1+x2	2	2	0	1	3	0	0	2	0	0	1	0	0	1	81
x1+x3	1	0	1	0	1	0	1	2	1	1	2	2	0	0	175
x1+x3	1	0	1	0	2	2	1	1	2	0	1	0	1	0	186
x1+x3	1	0	1	0	3	1	0	0	1	0	2	0	0	1	184
x1+x3	2	0	2	1	1	0	1	2	1	1	2	2	0	0	175
x1+x3	2	0	2	1	2	2	1	1	2	0	1	0	1	0	183
x1+x3	2	0	2	1	3	1	0	0	1	0	2	0	0	1	181
