# Part W7: the fields decided by a word count after a change of variables, one line per field.
# Columns: discriminant, prime p, p-class rank, coefficient field q of the change of variables, certificate file.
# The certificate records the change of variables and the high terms of the completed basis; see records/p3/flag-certificates/FORMAT.md.
discriminant	p	rank	q	certificate
-3321607	3	3	3	records/p3/flag-certificates/3321607.json
-3640387	3	3	3	records/p3/flag-certificates/3640387.json
-4019207	3	3	9	records/p3/flag-certificates/4019207.json
-4472360	3	3	3	records/p3/flag-certificates/4472360.json
-4818916	3	3	3	records/p3/flag-certificates/4818916.json
-5048347	3	3	3	records/p3/flag-certificates/5048347.json
-5067967	3	3	3	records/p3/flag-certificates/5067967.json
-5153431	3	3	3	records/p3/flag-certificates/5153431.json
-5288968	3	3	9	records/p3/flag-certificates/5288968.json
-5769988	3	3	9	records/p3/flag-certificates/5769988.json
-6562327	3	3	27	records/p3/flag-certificates/6562327.json
-7016747	3	3	3	records/p3/flag-certificates/7016747.json
-7060148	3	3	3	records/p3/flag-certificates/7060148.json
-7503391	3	3	3	records/p3/flag-certificates/7503391.json
-7546164	3	3	9	records/p3/flag-certificates/7546164.json
-8124503	3	3	3	records/p3/flag-certificates/8124503.json
-8180671	3	3	3	records/p3/flag-certificates/8180671.json
-8721735	3	3	3	records/p3/flag-certificates/8721735.json
-8819519	3	3	3	records/p3/flag-certificates/8819519.json
-8992363	3	3	3	records/p3/flag-certificates/8992363.json
-9379703	3	3	3	records/p3/flag-certificates/9379703.json
-9487991	3	3	3	records/p3/flag-certificates/9487991.json
-9778603	3	3	3	records/p3/flag-certificates/9778603.json
-10348907	3	3	3	records/p3/flag-certificates/10348907.json
-10381927	3	3	729	records/p3/flag-certificates/10381927.json
-10676983	3	3	3	records/p3/flag-certificates/10676983.json
-11072355	3	3	3	records/p3/flag-certificates/11072355.json
-11324296	3	3	3	records/p3/flag-certificates/11324296.json
-11328339	3	3	3	records/p3/flag-certificates/11328339.json
-11389912	3	3	3	records/p3/flag-certificates/11389912.json
-11393951	3	3	3	records/p3/flag-certificates/11393951.json
-12047115	3	3	3	records/p3/flag-certificates/12047115.json
-12201979	3	3	3	records/p3/flag-certificates/12201979.json
-12559720	3	3	3	records/p3/flag-certificates/12559720.json
-12641639	3	3	3	records/p3/flag-certificates/12641639.json
-12755172	3	3	3	records/p3/flag-certificates/12755172.json
-12840904	3	3	3	records/p3/flag-certificates/12840904.json
-12897383	3	3	3	records/p3/flag-certificates/12897383.json
-13275687	3	3	3	records/p3/flag-certificates/13275687.json
-13278979	3	3	3	records/p3/flag-certificates/13278979.json
-13863220	3	3	3	records/p3/flag-certificates/13863220.json
-13974943	3	3	9	records/p3/flag-certificates/13974943.json
-14177407	3	3	3	records/p3/flag-certificates/14177407.json
-14227223	3	3	3	records/p3/flag-certificates/14227223.json
-14445844	3	3	3	records/p3/flag-certificates/14445844.json
-14643743	3	3	3	records/p3/flag-certificates/14643743.json
-14935391	3	3	3	records/p3/flag-certificates/14935391.json
-15476323	3	3	3	records/p3/flag-certificates/15476323.json
-15625067	3	3	3	records/p3/flag-certificates/15625067.json
-15987407	3	3	6561	records/p3/flag-certificates/15987407.json
-16006307	3	3	3	records/p3/flag-certificates/16006307.json
-16042291	3	3	3	records/p3/flag-certificates/16042291.json
-16434239	3	3	3	records/p3/flag-certificates/16434239.json
-16572804	3	3	3	records/p3/flag-certificates/16572804.json
-16657624	3	3	9	records/p3/flag-certificates/16657624.json
-16763912	3	3	3	records/p3/flag-certificates/16763912.json
-17000507	3	3	3	records/p3/flag-certificates/17000507.json
-17112804	3	3	3	records/p3/flag-certificates/17112804.json
-17177572	3	3	3	records/p3/flag-certificates/17177572.json
-17496643	3	3	3	records/p3/flag-certificates/17496643.json
-17653587	3	3	3	records/p3/flag-certificates/17653587.json
-17725451	3	3	3	records/p3/flag-certificates/17725451.json
-17810891	3	3	9	records/p3/flag-certificates/17810891.json
-17896020	3	3	3	records/p3/flag-certificates/17896020.json
-17987428	3	3	3	records/p3/flag-certificates/17987428.json
-18409348	3	3	3	records/p3/flag-certificates/18409348.json
-18582159	3	3	3	records/p3/flag-certificates/18582159.json
-18590515	3	3	3	records/p3/flag-certificates/18590515.json
-18594131	3	3	3	records/p3/flag-certificates/18594131.json
-19233080	3	3	3	records/p3/flag-certificates/19233080.json
-19513736	3	3	3	records/p3/flag-certificates/19513736.json
-19912611	3	3	3	records/p3/flag-certificates/19912611.json
-19932436	3	3	3	records/p3/flag-certificates/19932436.json
-19969763	3	3	9	records/p3/flag-certificates/19969763.json
-20080808	3	3	3	records/p3/flag-certificates/20080808.json
-20096024	3	3	3	records/p3/flag-certificates/20096024.json
-20252728	3	3	3	records/p3/flag-certificates/20252728.json
-20501128	3	3	3	records/p3/flag-certificates/20501128.json
-20621908	3	3	3	records/p3/flag-certificates/20621908.json
-20846440	3	3	3	records/p3/flag-certificates/20846440.json
-21194392	3	3	3	records/p3/flag-certificates/21194392.json
-21483928	3	3	3	records/p3/flag-certificates/21483928.json
-21658407	3	3	3	records/p3/flag-certificates/21658407.json
-21747455	3	3	3	records/p3/flag-certificates/21747455.json
-21806879	3	3	3	records/p3/flag-certificates/21806879.json
-21965907	3	3	81	records/p3/flag-certificates/21965907.json
-21972215	3	3	3	records/p3/flag-certificates/21972215.json
-22151867	3	3	3	records/p3/flag-certificates/22151867.json
-22165572	3	3	3	records/p3/flag-certificates/22165572.json
-22309331	3	3	3	records/p3/flag-certificates/22309331.json
-23104527	3	3	3	records/p3/flag-certificates/23104527.json
-23321832	3	3	3	records/p3/flag-certificates/23321832.json
-23685848	3	3	3	records/p3/flag-certificates/23685848.json
-23951123	3	3	3	records/p3/flag-certificates/23951123.json
-24143284	3	3	3	records/p3/flag-certificates/24143284.json
-24418831	3	3	3	records/p3/flag-certificates/24418831.json
-24688264	3	3	3	records/p3/flag-certificates/24688264.json
-24909131	3	3	3	records/p3/flag-certificates/24909131.json
-24952655	3	3	3	records/p3/flag-certificates/24952655.json
-25012003	3	3	3	records/p3/flag-certificates/25012003.json
-25249451	3	3	3	records/p3/flag-certificates/25249451.json
-25274247	3	3	3	records/p3/flag-certificates/25274247.json
-25424951	3	3	3	records/p3/flag-certificates/25424951.json
-25660711	3	3	9	records/p3/flag-certificates/25660711.json
-25684355	3	3	27	records/p3/flag-certificates/25684355.json
-25748312	3	3	3	records/p3/flag-certificates/25748312.json
-25997167	3	3	3	records/p3/flag-certificates/25997167.json
-26156083	3	3	3	records/p3/flag-certificates/26156083.json
-26430603	3	3	3	records/p3/flag-certificates/26430603.json
-26514856	3	3	9	records/p3/flag-certificates/26514856.json
-26607371	3	3	3	records/p3/flag-certificates/26607371.json
-26758111	3	3	3	records/p3/flag-certificates/26758111.json
-27458447	3	3	3	records/p3/flag-certificates/27458447.json
-27607115	3	3	3	records/p3/flag-certificates/27607115.json
-27634267	3	3	9	records/p3/flag-certificates/27634267.json
-27808763	3	3	3	records/p3/flag-certificates/27808763.json
-27840799	3	3	3	records/p3/flag-certificates/27840799.json
-27858536	3	3	3	records/p3/flag-certificates/27858536.json
-28114627	3	3	3	records/p3/flag-certificates/28114627.json
-28494568	3	3	9	records/p3/flag-certificates/28494568.json
-28502452	3	3	243	records/p3/flag-certificates/28502452.json
-28732623	3	3	3	records/p3/flag-certificates/28732623.json
-28914811	3	3	3	records/p3/flag-certificates/28914811.json
